column,missing_count
region,0
Number of unemployed at the end of the period,0
"of them, persons who previously worked and received the status of unemployed within a year after dismissal",0
"agriculture, forestry and fisheries",0
mining and quarrying,0
processing industry,0
"supply of electricity, gas, steam and air conditioning",0
"water supply; sewerage, waste management",0
construction,0
wholesale and retail trade; repair of motor vehicles and motorcycles,0
"transport, warehousing, postal and courier activities",0
temporary accommodation and catering,0
information and telecommunications,0
financial and insurance activities,0
real estate transactions,0
"professional, scientific and technical activity",0
activities in the field of administrative and auxiliary services,0
public administration and defense; compulsory social insurance,0
education,0
health care and provision of social assistance,0
"arts, sports, entertainment and recreation",0
other types of economic activity,0
